


A.  .plot_2.curve_1.TIME (sec)
B.  .plot_2.curve_1.y_data (newton)
C.  .plot_2.curve_2.y_data (newton)

       A               B               C         
 0.000000E+00    3.309162E+02    3.309162E+02   
 1.000000E-02    1.615439E+01    1.615439E+01   
 2.000000E-02   -3.371649E+00   -3.371649E+00   
 3.000000E-02   -5.373458E+00   -5.373458E+00   
 4.000000E-02   -5.341748E+00   -5.341748E+00   
 5.000000E-02   -3.730735E+00   -3.730735E+00   
 6.000000E-02   -4.254209E+00   -4.254209E+00   
 7.000000E-02    3.853815E+00    3.853815E+00   
 8.000000E-02    9.722858E+00    9.722858E+00   
 9.000000E-02    1.576529E+01    1.576529E+01   
 1.000000E-01    2.247239E+01    2.247239E+01   
 1.100000E-01    2.894792E+01    2.894792E+01   
 1.200000E-01    3.493136E+01    3.493136E+01   
 1.300000E-01    4.006501E+01    4.006501E+01   
 1.400000E-01    4.399561E+01    4.399561E+01   
 1.500000E-01    4.652268E+01    4.652268E+01   
 1.600000E-01    4.737783E+01    4.737783E+01   
 1.700000E-01    4.661666E+01    4.661666E+01   
 1.800000E-01    4.428842E+01    4.428842E+01   
 1.900000E-01    4.049776E+01    4.049776E+01   
 2.000000E-01    3.548096E+01    3.548096E+01   
 2.100000E-01    2.956207E+01    2.956207E+01   
 2.200000E-01    2.310956E+01    2.310956E+01   
 2.300000E-01    1.651989E+01    1.651989E+01   
 2.400000E-01    1.020188E+01    1.020188E+01   
 2.500000E-01    4.550037E+00    4.550037E+00   
 2.600000E-01   -8.366783E-02   -8.366783E-02   
 2.700000E-01   -3.411671E+00   -3.411671E+00   
 2.800000E-01   -5.227341E+00   -5.227341E+00   
 2.900000E-01   -5.417626E+00   -5.417626E+00   
 3.000000E-01   -3.970564E+00   -3.970564E+00   
 3.100000E-01   -9.761662E-01   -9.761662E-01   
 3.200000E-01    3.379333E+00    3.379333E+00   
 3.300000E-01    8.825140E+00    8.825140E+00   
 3.400000E-01    1.502268E+01    1.502268E+01   
 3.500000E-01    2.158663E+01    2.158663E+01   
 3.600000E-01    2.810885E+01    2.810885E+01   
 3.700000E-01    3.418383E+01    3.418383E+01   
 3.800000E-01    3.943387E+01    3.943387E+01   
 3.900000E-01    4.353253E+01    4.353253E+01   
 4.000000E-01    4.622498E+01    4.622498E+01   
 4.100000E-01    4.734383E+01    4.734383E+01   
 4.200000E-01    4.681949E+01    4.681949E+01   
 4.300000E-01    4.468459E+01    4.468459E+01   
 4.400000E-01    4.107185E+01    4.107185E+01   
 4.500000E-01    3.620590E+01    3.620590E+01   
 4.600000E-01    3.038927E+01    3.038927E+01   
 4.700000E-01    2.398363E+01    2.398363E+01   
 4.800000E-01    1.738724E+01    1.738724E+01   
 4.900000E-01    1.101023E+01    1.101023E+01   
 5.000000E-01    5.249090E+00    5.249090E+00   
 5.100000E-01    4.620294E-01    4.620294E-01   
 5.200000E-01   -3.053320E+00   -3.053320E+00   
 5.300000E-01   -5.078391E+00   -5.078391E+00   
 5.400000E-01   -5.487273E+00   -5.487273E+00   
 5.500000E-01   -4.254544E+00   -4.254544E+00   
 5.600000E-01   -1.456850E+00   -1.456850E+00   
 5.700000E-01    2.731864E+00    2.731864E+00   
 5.800000E-01    8.051163E+00    8.051163E+00   
 5.900000E-01    1.417032E+01    1.417032E+01   
 6.000000E-01    2.070887E+01    2.070887E+01   
 6.100000E-01    2.726029E+01    2.726029E+01   
 6.200000E-01    3.341724E+01    3.341724E+01   
 6.300000E-01    3.879690E+01    3.879690E+01   
 6.400000E-01    4.306480E+01    4.306480E+01   
 6.500000E-01    4.595558E+01    4.595558E+01   
 6.600000E-01    4.728951E+01    4.728951E+01   
 6.700000E-01    4.698365E+01    4.698365E+01   
 6.800000E-01    4.505701E+01    4.505701E+01   
 6.900000E-01    4.162939E+01    4.162939E+01   
 7.000000E-01    3.691390E+01    3.691390E+01   
 7.100000E-01    3.120372E+01    3.120372E+01   
 7.200000E-01    2.485389E+01    2.485389E+01   
 7.300000E-01    1.825920E+01    1.825920E+01   
 7.400000E-01    1.182970E+01    1.182970E+01   
 7.500000E-01    5.965117E+00    5.965117E+00   
 7.600000E-01    1.030101E+00    1.030101E+00   
 7.700000E-01   -2.668518E+00   -2.668518E+00   
 7.800000E-01   -4.900778E+00   -4.900778E+00   
 7.900000E-01   -5.527887E+00   -5.527887E+00   
 8.000000E-01   -4.510854E+00   -4.510854E+00   
 8.100000E-01   -1.912913E+00   -1.912913E+00   
 8.200000E-01    2.104408E+00    2.104408E+00   
 8.300000E-01    7.291332E+00    7.291332E+00   
 8.400000E-01    1.332536E+01    1.332536E+01   
 8.500000E-01    1.983133E+01    1.983133E+01   
 8.600000E-01    2.640473E+01    2.640473E+01   
 8.700000E-01    3.263686E+01    3.263686E+01   
 8.800000E-01    3.814023E+01    3.814023E+01   
 8.900000E-01    4.257267E+01    4.257267E+01   
 9.000000E-01    4.565860E+01    4.565860E+01   
 9.100000E-01    4.720614E+01    4.720614E+01   
 9.200000E-01    4.711908E+01    4.711908E+01   
 9.300000E-01    4.540283E+01    4.540283E+01   
 9.400000E-01    4.216410E+01    4.216410E+01   
 9.500000E-01    3.760426E+01    3.760426E+01   
 9.600000E-01    3.200681E+01    3.200681E+01   
 9.700000E-01    2.571979E+01    2.571979E+01   
 9.800000E-01    1.913408E+01    1.913408E+01   
 9.900000E-01    1.265915E+01    1.265915E+01   
 1.000000E+00    6.697591E+00    6.697591E+00   
