


A.  .plot_2.curve_1.TIME (sec)
B.  .plot_2.curve_1.y_data (newton)
C.  .plot_2.curve_2.y_data (newton)

       A               B               C         
 0.000000E+00    3.289549E+02    3.289549E+02   
 1.000000E-02    1.148881E+01    1.148881E+01   
 2.000000E-02   -6.877354E-01   -6.877354E-01   
 3.000000E-02    4.269034E-01    4.269034E-01   
 4.000000E-02    2.653575E+00    2.653575E+00   
 5.000000E-02    5.917817E+00    5.917817E+00   
 6.000000E-02    8.140708E+00    8.140708E+00   
 7.000000E-02    1.453246E+01    1.453246E+01   
 8.000000E-02    1.970287E+01    1.970287E+01   
 9.000000E-02    2.431504E+01    2.431504E+01   
 1.000000E-01    2.895308E+01    2.895308E+01   
 1.100000E-01    3.279950E+01    3.279950E+01   
 1.200000E-01    3.589304E+01    3.589304E+01   
 1.300000E-01    3.787179E+01    3.787179E+01   
 1.400000E-01    3.868934E+01    3.868934E+01   
 1.500000E-01    3.827851E+01    3.827851E+01   
 1.600000E-01    3.663764E+01    3.663764E+01   
 1.700000E-01    3.395888E+01    3.395888E+01   
 1.800000E-01    3.031617E+01    3.031617E+01   
 1.900000E-01    2.594734E+01    2.594734E+01   
 2.000000E-01    2.116365E+01    2.116365E+01   
 2.100000E-01    1.624751E+01    1.624751E+01   
 2.200000E-01    1.148856E+01    1.148856E+01   
 2.300000E-01    7.192239E+00    7.192239E+00   
 2.400000E-01    3.633947E+00    3.633947E+00   
 2.500000E-01    1.028576E+00    1.028576E+00   
 2.600000E-01   -4.662920E-01   -4.662920E-01   
 2.700000E-01   -7.536941E-01   -7.536941E-01   
 2.800000E-01    1.865362E-01    1.865362E-01   
 2.900000E-01    2.293435E+00    2.293435E+00   
 3.000000E-01    5.434846E+00    5.434846E+00   
 3.100000E-01    9.416997E+00    9.416997E+00   
 3.200000E-01    1.399286E+01    1.399286E+01   
 3.300000E-01    1.887700E+01    1.887700E+01   
 3.400000E-01    2.376547E+01    2.376547E+01   
 3.500000E-01    2.835490E+01    2.835490E+01   
 3.600000E-01    3.236007E+01    3.236007E+01   
 3.700000E-01    3.553159E+01    3.553159E+01   
 3.800000E-01    3.767225E+01    3.767225E+01   
 3.900000E-01    3.864916E+01    3.864916E+01   
 4.000000E-01    3.840157E+01    3.840157E+01   
 4.100000E-01    3.694478E+01    3.694478E+01   
 4.200000E-01    3.436935E+01    3.436935E+01   
 4.300000E-01    3.083549E+01    3.083549E+01   
 4.400000E-01    2.656290E+01    2.656290E+01   
 4.500000E-01    2.181720E+01    2.181720E+01   
 4.600000E-01    1.689346E+01    1.689346E+01   
 4.700000E-01    1.209784E+01    1.209784E+01   
 4.800000E-01    7.728499E+00    7.728499E+00   
 4.900000E-01    4.057088E+00    4.057088E+00   
 5.000000E-01    1.311884E+00    1.311884E+00   
 5.100000E-01   -3.364213E-01   -3.364213E-01   
 5.200000E-01   -7.853467E-01   -7.853467E-01   
 5.300000E-01   -6.983830E-03   -6.983830E-03   
 5.400000E-01    1.950275E+00    1.950275E+00   
 5.500000E-01    4.964739E+00    4.964739E+00   
 5.600000E-01    8.848984E+00    8.848984E+00   
 5.700000E-01    1.336150E+01    1.336150E+01   
 5.800000E-01    1.822174E+01    1.822174E+01   
 5.900000E-01    2.312749E+01    2.312749E+01   
 6.000000E-01    2.777376E+01    2.777376E+01   
 6.100000E-01    3.187165E+01    3.187165E+01   
 6.200000E-01    3.516639E+01    3.516639E+01   
 6.300000E-01    3.745312E+01    3.745312E+01   
 6.400000E-01    3.858966E+01    3.858966E+01   
 6.500000E-01    3.850535E+01    3.850535E+01   
 6.600000E-01    3.720543E+01    3.720543E+01   
 6.700000E-01    3.477073E+01    3.477073E+01   
 6.800000E-01    3.135262E+01    3.135262E+01   
 6.900000E-01    2.716362E+01    2.716362E+01   
 7.000000E-01    2.246420E+01    2.246420E+01   
 7.100000E-01    1.754652E+01    1.754652E+01   
 7.200000E-01    1.271637E+01    1.271637E+01   
 7.300000E-01    8.274037E+00    8.274037E+00   
 7.400000E-01    4.495740E+00    4.495740E+00   
 7.500000E-01    1.616391E+00    1.616391E+00   
 7.600000E-01   -1.849849E-01   -1.849849E-01   
 7.700000E-01   -7.963865E-01   -7.963865E-01   
 7.800000E-01   -1.797994E-01   -1.797994E-01   
 7.900000E-01    1.626440E+00    1.626440E+00   
 8.000000E-01    4.510030E+00    4.510030E+00   
 8.100000E-01    8.291682E+00    8.291682E+00   
 8.200000E-01    1.273627E+01    1.273627E+01   
 8.300000E-01    1.756746E+01    1.756746E+01   
 8.400000E-01    2.248486E+01    2.248486E+01   
 8.500000E-01    2.718274E+01    2.718274E+01   
 8.600000E-01    3.136900E+01    3.136900E+01   
 8.700000E-01    3.478337E+01    3.478337E+01   
 8.800000E-01    3.721355E+01    3.721355E+01   
 8.900000E-01    3.850845E+01    3.850845E+01   
 9.000000E-01    3.858757E+01    3.858757E+01   
 9.100000E-01    3.744597E+01    3.744597E+01   
 9.200000E-01    3.515464E+01    3.515464E+01   
 9.300000E-01    3.185604E+01    3.185604E+01   
 9.400000E-01    2.775527E+01    2.775527E+01   
 9.500000E-01    2.310729E+01    2.310729E+01   
 9.600000E-01    1.820110E+01    1.820110E+01   
 9.700000E-01    1.334172E+01    1.334172E+01   
 9.800000E-01    8.831304E+00    8.831304E+00   
 9.900000E-01    4.950280E+00    4.950280E+00   
 1.000000E+00    1.939954E+00    1.939954E+00   
