


A.  .plot_3.curve_1.TIME (sec)
B.  .plot_3.curve_1.y_data (newton)
C.  .plot_3.curve_2.y_data (newton)

       A               B               C         
 0.000000E+00    1.797423E+01    1.797423E+01   
 1.000000E-02   -2.194200E+01   -2.194200E+01   
 2.000000E-02   -1.585108E+01   -1.585108E+01   
 3.000000E-02   -4.241768E+00   -4.241768E+00   
 4.000000E-02    1.020745E+01    1.020745E+01   
 5.000000E-02    2.639654E+01    2.639654E+01   
 6.000000E-02    4.132255E+01    4.132255E+01   
 7.000000E-02    5.250417E+01    5.250417E+01   
 8.000000E-02    5.927605E+01    5.927605E+01   
 9.000000E-02    6.007331E+01    6.007331E+01   
 1.000000E-01    5.483099E+01    5.483099E+01   
 1.100000E-01    4.448165E+01    4.448165E+01   
 1.200000E-01    3.038894E+01    3.038894E+01   
 1.300000E-01    1.455626E+01    1.455626E+01   
 1.400000E-01   -6.882991E-01   -6.882991E-01   
 1.500000E-01   -1.336175E+01   -1.336175E+01   
 1.600000E-01   -2.171095E+01   -2.171095E+01   
 1.700000E-01   -2.445315E+01   -2.445315E+01   
 1.800000E-01   -2.124767E+01   -2.124767E+01   
 1.900000E-01   -1.252960E+01   -1.252960E+01   
 2.000000E-01    4.719351E-01    4.719351E-01   
 2.100000E-01    1.593152E+01    1.593152E+01   
 2.200000E-01    3.167818E+01    3.167818E+01   
 2.300000E-01    4.550004E+01    4.550004E+01   
 2.400000E-01    5.545603E+01    5.545603E+01   
 2.500000E-01    6.014780E+01    6.014780E+01   
 2.600000E-01    5.891641E+01    5.891641E+01   
 2.700000E-01    5.193482E+01    5.193482E+01   
 2.800000E-01    4.018356E+01    4.018356E+01   
 2.900000E-01    2.531306E+01    2.531306E+01   
 3.000000E-01    9.411844E+00    9.411844E+00   
 3.100000E-01   -5.286813E+00   -5.286813E+00   
 3.200000E-01   -1.671853E+01   -1.671853E+01   
 3.300000E-01   -2.327775E+01   -2.327775E+01   
 3.400000E-01   -2.404325E+01   -2.404325E+01   
 3.500000E-01   -1.890753E+01   -1.890753E+01   
 3.600000E-01   -8.591876E+00   -8.591876E+00   
 3.700000E-01    5.454907E+00    5.454907E+00   
 3.800000E-01    2.125999E+01    2.125999E+01   
 3.900000E-01    3.660360E+01    3.660360E+01   
 4.000000E-01    4.933076E+01    4.933076E+01   
 4.100000E-01    5.765399E+01    5.765399E+01   
 4.200000E-01    6.040432E+01    6.040432E+01   
 4.300000E-01    5.719546E+01    5.719546E+01   
 4.400000E-01    4.847810E+01    4.847810E+01   
 4.500000E-01    3.547655E+01    3.547655E+01   
 4.600000E-01    2.001686E+01    2.001686E+01   
 4.700000E-01    4.270282E+00    4.270282E+00   
 4.800000E-01   -9.551618E+00   -9.551618E+00   
 4.900000E-01   -1.950760E+01   -1.950760E+01   
 5.000000E-01   -2.419937E+01   -2.419937E+01   
 5.100000E-01   -2.296798E+01   -2.296798E+01   
 5.200000E-01   -1.598638E+01   -1.598638E+01   
 5.300000E-01   -4.235124E+00   -4.235124E+00   
 5.400000E-01    1.063537E+01    1.063537E+01   
 5.500000E-01    2.653659E+01    2.653659E+01   
 5.600000E-01    4.123525E+01    4.123525E+01   
 5.700000E-01    5.266696E+01    5.266696E+01   
 5.800000E-01    5.922618E+01    5.922618E+01   
 5.900000E-01    5.999169E+01    5.999169E+01   
 6.000000E-01    5.485596E+01    5.485596E+01   
 6.100000E-01    4.454031E+01    4.454031E+01   
 6.200000E-01    3.049353E+01    3.049353E+01   
 6.300000E-01    1.468844E+01    1.468844E+01   
 6.400000E-01   -6.551607E-01   -6.551607E-01   
 6.500000E-01   -1.338233E+01   -1.338233E+01   
 6.600000E-01   -2.170556E+01   -2.170556E+01   
 6.700000E-01   -2.445588E+01   -2.445588E+01   
 6.800000E-01   -2.124702E+01   -2.124702E+01   
 6.900000E-01   -1.252966E+01   -1.252966E+01   
 7.000000E-01    4.718832E-01    4.718832E-01   
 7.100000E-01    1.593158E+01    1.593158E+01   
 7.200000E-01    3.167815E+01    3.167815E+01   
 7.300000E-01    4.550006E+01    4.550006E+01   
 7.400000E-01    5.545603E+01    5.545603E+01   
 7.500000E-01    6.014780E+01    6.014780E+01   
 7.600000E-01    5.891642E+01    5.891642E+01   
 7.700000E-01    5.193482E+01    5.193482E+01   
 7.800000E-01    4.018356E+01    4.018356E+01   
 7.900000E-01    2.531306E+01    2.531306E+01   
 8.000000E-01    9.411849E+00    9.411849E+00   
 8.100000E-01   -5.286807E+00   -5.286807E+00   
 8.200000E-01   -1.671852E+01   -1.671852E+01   
 8.300000E-01   -2.327774E+01   -2.327774E+01   
 8.400000E-01   -2.404325E+01   -2.404325E+01   
 8.500000E-01   -1.890753E+01   -1.890753E+01   
 8.600000E-01   -8.591871E+00   -8.591871E+00   
 8.700000E-01    5.454912E+00    5.454912E+00   
 8.800000E-01    2.126000E+01    2.126000E+01   
 8.900000E-01    3.660360E+01    3.660360E+01   
 9.000000E-01    4.933077E+01    4.933077E+01   
 9.100000E-01    5.765400E+01    5.765400E+01   
 9.200000E-01    6.040432E+01    6.040432E+01   
 9.300000E-01    5.719546E+01    5.719546E+01   
 9.400000E-01    4.847810E+01    4.847810E+01   
 9.500000E-01    3.547656E+01    3.547656E+01   
 9.600000E-01    2.001686E+01    2.001686E+01   
 9.700000E-01    4.270287E+00    4.270287E+00   
 9.800000E-01   -9.551613E+00   -9.551613E+00   
 9.900000E-01   -1.950759E+01   -1.950759E+01   
 1.000000E+00   -2.419936E+01   -2.419936E+01   
 1.010000E+00   -2.296798E+01   -2.296798E+01   
 1.020000E+00   -1.598638E+01   -1.598638E+01   
 1.030000E+00   -4.235119E+00   -4.235119E+00   
 1.040000E+00    1.063538E+01    1.063538E+01   
 1.050000E+00    2.653659E+01    2.653659E+01   
 1.060000E+00    4.123525E+01    4.123525E+01   
 1.070000E+00    5.266696E+01    5.266696E+01   
 1.080000E+00    5.922619E+01    5.922619E+01   
 1.090000E+00    5.999169E+01    5.999169E+01   
 1.100000E+00    5.485597E+01    5.485597E+01   
 1.110000E+00    4.454031E+01    4.454031E+01   
 1.120000E+00    3.049353E+01    3.049353E+01   
 1.130000E+00    1.468845E+01    1.468845E+01   
 1.140000E+00   -6.551563E-01   -6.551563E-01   
 1.150000E+00   -1.338232E+01   -1.338232E+01   
 1.160000E+00   -2.170555E+01   -2.170555E+01   
 1.170000E+00   -2.445588E+01   -2.445588E+01   
 1.180000E+00   -2.124702E+01   -2.124702E+01   
 1.190000E+00   -1.252966E+01   -1.252966E+01   
 1.200000E+00    4.718874E-01    4.718874E-01   
 1.210000E+00    1.593158E+01    1.593158E+01   
 1.220000E+00    3.167816E+01    3.167816E+01   
 1.230000E+00    4.550006E+01    4.550006E+01   
 1.240000E+00    5.545604E+01    5.545604E+01   
 1.250000E+00    6.014781E+01    6.014781E+01   
 1.260000E+00    5.891642E+01    5.891642E+01   
 1.270000E+00    5.193483E+01    5.193483E+01   
 1.280000E+00    4.018357E+01    4.018357E+01   
 1.290000E+00    2.531307E+01    2.531307E+01   
 1.300000E+00    9.411853E+00    9.411853E+00   
 1.310000E+00   -5.286803E+00   -5.286803E+00   
 1.320000E+00   -1.671852E+01   -1.671852E+01   
 1.330000E+00   -2.327774E+01   -2.327774E+01   
 1.340000E+00   -2.404324E+01   -2.404324E+01   
 1.350000E+00   -1.890752E+01   -1.890752E+01   
 1.360000E+00   -8.591867E+00   -8.591867E+00   
 1.370000E+00    5.454916E+00    5.454916E+00   
 1.380000E+00    2.126000E+01    2.126000E+01   
 1.390000E+00    3.660360E+01    3.660360E+01   
 1.400000E+00    4.933077E+01    4.933077E+01   
 1.410000E+00    5.765400E+01    5.765400E+01   
 1.420000E+00    6.040433E+01    6.040433E+01   
 1.430000E+00    5.719547E+01    5.719547E+01   
 1.440000E+00    4.847810E+01    4.847810E+01   
 1.450000E+00    3.547656E+01    3.547656E+01   
 1.460000E+00    2.001687E+01    2.001687E+01   
 1.470000E+00    4.270290E+00    4.270290E+00   
 1.480000E+00   -9.551610E+00   -9.551610E+00   
 1.490000E+00   -1.950759E+01   -1.950759E+01   
 1.500000E+00   -2.419936E+01   -2.419936E+01   
 1.510000E+00   -2.296797E+01   -2.296797E+01   
 1.520000E+00   -1.598638E+01   -1.598638E+01   
 1.530000E+00   -4.235116E+00   -4.235116E+00   
 1.540000E+00    1.063538E+01    1.063538E+01   
 1.550000E+00    2.653660E+01    2.653660E+01   
 1.560000E+00    4.123525E+01    4.123525E+01   
 1.570000E+00    5.266697E+01    5.266697E+01   
 1.580000E+00    5.922619E+01    5.922619E+01   
 1.590000E+00    5.999170E+01    5.999170E+01   
 1.600000E+00    5.485597E+01    5.485597E+01   
 1.610000E+00    4.454032E+01    4.454032E+01   
 1.620000E+00    3.049354E+01    3.049354E+01   
 1.630000E+00    1.468845E+01    1.468845E+01   
 1.640000E+00   -6.551532E-01   -6.551532E-01   
 1.650000E+00   -1.338232E+01   -1.338232E+01   
 1.660000E+00   -2.170555E+01   -2.170555E+01   
 1.670000E+00   -2.445587E+01   -2.445587E+01   
 1.680000E+00   -2.124702E+01   -2.124702E+01   
 1.690000E+00   -1.252965E+01   -1.252965E+01   
 1.700000E+00    4.718905E-01    4.718905E-01   
 1.710000E+00    1.593158E+01    1.593158E+01   
 1.720000E+00    3.167816E+01    3.167816E+01   
 1.730000E+00    4.550006E+01    4.550006E+01   
 1.740000E+00    5.545604E+01    5.545604E+01   
 1.750000E+00    6.014781E+01    6.014781E+01   
 1.760000E+00    5.891642E+01    5.891642E+01   
 1.770000E+00    5.193483E+01    5.193483E+01   
 1.780000E+00    4.018357E+01    4.018357E+01   
 1.790000E+00    2.531307E+01    2.531307E+01   
 1.800000E+00    9.411856E+00    9.411856E+00   
 1.810000E+00   -5.286800E+00   -5.286800E+00   
 1.820000E+00   -1.671851E+01   -1.671851E+01   
 1.830000E+00   -2.327774E+01   -2.327774E+01   
 1.840000E+00   -2.404324E+01   -2.404324E+01   
 1.850000E+00   -1.890752E+01   -1.890752E+01   
 1.860000E+00   -8.591864E+00   -8.591864E+00   
 1.870000E+00    5.454919E+00    5.454919E+00   
 1.880000E+00    2.126000E+01    2.126000E+01   
 1.890000E+00    3.660361E+01    3.660361E+01   
 1.900000E+00    4.933077E+01    4.933077E+01   
