""
"Test Method","Tensile test (ROUND specimen).msm"
"Sample I. D.","MaterialX_RT_1mm_min_fi64.mss"
"Specimen Number","4"

"Time (s)","Extension (mm)","Strain (%)","Load (N)","Stress (MPa)"

0.372,0.00018,0.00179,107.45686,3.38244
0.628,0.00053,0.00534,208.37385,6.55902
0.884,0.00095,0.00955,305.78698,9.62531
1.140,0.00131,0.01306,404.68116,12.73822
1.396,0.00173,0.01735,509.66095,16.04269
1.652,0.00214,0.02143,599.83213,18.88103
1.908,0.00264,0.02639,695.87319,21.90413
2.164,0.00298,0.02984,789.92741,24.86469
2.420,0.00340,0.03396,897.93692,28.26453
2.676,0.00373,0.03728,999.40255,31.45838
2.932,0.00415,0.04147,1102.24568,34.69559
3.188,0.00459,0.04587,1201.02898,37.80501
3.444,0.00498,0.04980,1302.83646,41.00962
3.700,0.00534,0.05339,1397.42711,43.98707
3.956,0.00572,0.05717,1495.04672,47.05986
4.212,0.00615,0.06148,1593.25932,50.15132
4.468,0.00653,0.06534,1683.50741,52.99207
4.724,0.00691,0.06911,1793.57745,56.45677
4.980,0.00734,0.07340,1892.77199,59.57913
5.236,0.00777,0.07773,1984.71554,62.47326
5.492,0.00817,0.08165,2084.74996,65.62206
5.748,0.00861,0.08605,2187.96231,68.87089
6.004,0.00891,0.08906,2284.20980,71.90049
6.260,0.00929,0.09286,2374.93767,74.75635
6.516,0.00966,0.09660,2469.80704,77.74257
6.772,0.01015,0.10150,2566.02028,80.77110
7.028,0.01061,0.10613,2654.11448,83.54405
7.284,0.01083,0.10830,2737.78933,86.17790
7.540,0.01118,0.11176,2820.78574,88.79039
7.796,0.01163,0.11626,2907.45373,91.51846
8.052,0.01202,0.12021,2999.09704,94.40313
8.308,0.01243,0.12428,3091.51588,97.31222
8.564,0.01274,0.12741,3173.20887,99.88368
8.820,0.01322,0.13215,3272.59426,103.01206
9.076,0.01354,0.13541,3366.24744,105.95999
9.332,0.01396,0.13963,3452.78174,108.68385
9.588,0.01432,0.14324,3542.12760,111.49621
9.844,0.01467,0.14671,3631.58619,114.31211
10.100,0.01509,0.15091,3717.80442,117.02602
10.356,0.01538,0.15377,3806.22428,119.80923
10.612,0.01587,0.15870,3890.86796,122.47357
10.868,0.01628,0.16276,3965.29452,124.81631
11.124,0.01676,0.16763,4051.13250,127.51825
11.380,0.01714,0.17136,4125.96259,129.87369
11.636,0.01752,0.17517,4197.08136,132.11231
11.892,0.01794,0.17939,4281.11058,134.75731
12.148,0.01841,0.18411,4364.20895,137.37301
12.404,0.01887,0.18869,4430.84956,139.47067
12.660,0.01933,0.19333,4499.86624,141.64312
12.916,0.01972,0.19720,4573.47377,143.96008
13.172,0.02024,0.20236,4636.52326,145.94470
13.428,0.02073,0.20733,4697.86135,147.87545
13.684,0.02132,0.21323,4756.91452,149.73428
13.940,0.02183,0.21834,4802.18186,151.15917
14.196,0.02228,0.22280,4861.68939,153.03230
14.452,0.02285,0.22852,4896.42699,154.12574
14.708,0.02336,0.23363,4948.53734,155.76603
14.964,0.02394,0.23945,4994.73448,157.22018
15.220,0.02442,0.24424,5025.41129,158.18580
15.476,0.02495,0.24954,5059.96414,159.27343
15.732,0.02547,0.25475,5084.98120,160.06089
15.988,0.02602,0.26020,5113.40734,160.95567
16.244,0.02662,0.26619,5149.45593,162.09038
16.500,0.02717,0.27172,5160.89377,162.45041
16.756,0.02781,0.27810,5187.45135,163.28637
17.012,0.02846,0.28460,5217.42445,164.22983
17.268,0.02909,0.29095,5240.44204,164.95436
17.524,0.02973,0.29729,5262.72845,165.65588
17.780,0.03021,0.30211,5283.17854,166.29959
18.036,0.03090,0.30904,5311.79439,167.20034
18.292,0.03153,0.31526,5331.38235,167.81691
18.548,0.03218,0.32176,5350.73385,168.42604
18.804,0.03277,0.32773,5374.10064,169.16156
19.060,0.03337,0.33371,5391.98809,169.72461
19.316,0.03397,0.33975,5418.34138,170.55413
19.572,0.03451,0.34509,5438.63971,171.19307
19.828,0.03515,0.35145,5461.28393,171.90585
20.084,0.03573,0.35732,5479.37666,172.47535
20.340,0.03623,0.36234,5498.25700,173.06965
20.596,0.03678,0.36783,5519.49078,173.73803
20.852,0.03738,0.37381,5544.52319,174.52598
21.108,0.03792,0.37916,5564.75422,175.16280
21.364,0.03848,0.38477,5583.95731,175.76726
21.620,0.03906,0.39056,5600.37956,176.28418
21.876,0.03962,0.39616,5628.21264,177.16029
22.132,0.04025,0.40246,5650.50311,177.86193
22.388,0.04084,0.40837,5671.72152,178.52983
22.644,0.04131,0.41314,5690.73587,179.12835
22.900,0.04184,0.41843,5708.06034,179.67367
23.156,0.04235,0.42351,5725.80748,180.23230
23.412,0.04290,0.42897,5749.43696,180.97609
23.668,0.04355,0.43551,5779.41524,181.91972
23.924,0.04410,0.44096,5792.55343,182.33328
24.180,0.04466,0.44664,5821.07701,183.23112
24.436,0.04524,0.45236,5832.60902,183.59411
24.692,0.04570,0.45696,5849.84195,184.13656
24.948,0.04637,0.46367,5880.68164,185.10730
25.204,0.04691,0.46906,5898.03822,185.65364
25.460,0.04760,0.47596,5919.94524,186.34321
25.716,0.04815,0.48145,5943.58452,187.08731
25.972,0.04869,0.48691,5962.81829,187.69273
26.228,0.04915,0.49152,5976.53718,188.12457
26.484,0.04973,0.49730,5998.15883,188.80516
26.740,0.05037,0.50367,6019.17438,189.46667
26.996,0.05087,0.50870,6031.14559,189.84349
27.252,0.05136,0.51363,6061.38540,190.79535
27.508,0.05198,0.51978,6073.73306,191.18402
27.764,0.05248,0.52480,6090.54548,191.71323
28.020,0.05306,0.53058,6113.06990,192.42223
28.276,0.05351,0.53506,6126.35434,192.84039
28.532,0.05420,0.54197,6149.62060,193.57275
28.788,0.05476,0.54757,6169.93433,194.21216
29.044,0.05517,0.55168,6183.39339,194.63582
29.300,0.05572,0.55717,6201.06447,195.19205
29.556,0.05618,0.56176,6214.49760,195.61489
29.812,0.05675,0.56751,6235.46023,196.27474
30.068,0.05724,0.57237,6263.99854,197.17304
30.324,0.05785,0.57853,6284.39884,197.81519
30.580,0.05832,0.58320,6285.29528,197.84340
